plan,inbound_transactions,outbound_transactions,user_settings_crypto_unlocked,country,NotsPerUser,AvgNotsPerMonth,AvgPushPerMonth,inbound_outbound_ratio
0,0.06017329910141235,0.07901614765889342,0,2,0.42105263157894735,0.09285084871409092,0.9131346302461597,-0.5189376383131115
0,0.04813863928112988,0.06685981724983289,0,2,0.5263157894736842,0.7469701637461275,1.7106835000322105,-0.5585838064390526
0,0.01604621309370996,0.004052110136353509,0,1,0.5789473684210527,0.6176675084490969,1.6324924343669112,1.2849630114172161
0,0.02808087291399243,0.00709119273861864,0,2,0.3157894736842105,-0.21665641215527146,-0.12440066415877002,1.2849630114172161
0,0.03610397946084741,0.1863970662722614,1,2,0.42105263157894735,0.4109215515837917,0.9621817532543928,-1.129584490380718
0,0.09627727856225976,0.31201248049922015,1,2,0.3684210526315789,0.19622382714674366,0.5207576461802955,-0.9929402186782806
0,0.01604621309370996,0.012156330409060525,0,1,0.3157894736842105,-0.07448199931736023,0.8662199908469803,-0.046487468145644695
0,0.00802310654685498,0.008104220272707017,0,2,0.5789473684210527,0.6176675084490969,1.6324924343669112,-0.3127775640582168
0,0.02005776636713745,0.03849504629535833,0,2,0.5263157894736842,0.8403170004578874,1.8450299674025878,-0.7586586548885703
0,0.13238125802310718,0.05267743177259561,0,2,0.47368421052631576,0.4645959826930536,1.5875325716093645,0.6897263264361725
0,0.1604621309370996,0.2137488096926476,0,3,0.47368421052631576,0.6256192760208397,0.07933353910619788,-0.5292045742819806
0,0.2366816431322219,0.17930587353364275,0,2,0.47368421052631576,0.2677897352924262,0.9131346302461597,-0.046487468145644695
0,0.06017329910141235,0.029377798488562937,0,1,0.631578947368421,1.1576962452778712,1.2884517454395954,0.43767634260448635
0,0.09627727856225976,0.639220374009766,0,2,0.42105263157894735,0.33624408221438357,0.4439882362543654,-1.1827940606275367
1,0.3449935815147641,0.4984095467714816,0,3,0.3684210526315789,0.01587773861962358,-0.46803235366568285,-0.5855175930897786
0,0.02005776636713745,0.00709119273861864,0,2,0.5263157894736842,0.5100128090162753,1.743162865770104,0.8411461848962626
0,0.01604621309370996,0.005065137670441886,1,2,0.42105263157894735,0.14667819843050195,0.9961374537985543,0.9890851270699136
0,0.2687740693196418,0.2532568835220943,0,2,0.7368421052631579,1.142484168184103,0.553455728185784,-0.25229527098028254
1,0.401155327342749,0.36063780213546226,1,2,0.7894736842105263,1.773785367575487,1.7106835000322105,-0.20999893054810134
0,0.01604621309370996,0.0020260550681767543,0,2,0.5789473684210527,1.0550147248949353,2.2864540744766852,2.1725966644591233
0,0.03610397946084741,0.008104220272707017,0,1,0.5263157894736842,0.44272862187076156,1.2728135323065355,1.4416042443069645
1,0.3690629011553291,0.17424073586320088,1,1,1.0,2.6294647040999535,3.6107263956989777,0.4780233268336642
0,0.08825417201540478,0.1286544968292239,1,2,0.2631578947368421,-0.3619902563895808,-0.46803235366568285,-0.5915779329331246
0,0.02406931964056494,0.0020260550681767543,0,2,0.631578947368421,0.7926063950274322,1.9921713364272868,2.6164134909800767
0,0.05215019255455737,0.0486253216362421,0,2,0.7368421052631579,1.0550147248949353,0.8360605798046506,-0.24293098152377177
0,0.03610397946084741,0.012156330409060525,0,2,0.6842105263157894,1.0550147248949353,1.369650159784329,0.90454858868497
0,0.10028883183568725,0.08509431286342369,1,1,0.42105263157894735,0.20481173612422565,1.0857805032351402,-0.15642374627468816
0,0.00802310654685498,0.004052110136353509,1,2,0.5789473684210527,1.0550147248949353,2.2864540744766852,0.3973293583753088
0,0.01604621309370996,0.0020260550681767543,0,2,0.42105263157894735,0.09285084871409092,0.9131346302461597,2.1725966644591233
0,0.01203465982028247,0.0030390826022651312,0,2,0.3684210526315789,0.13088104144851181,0.021756481661750444,1.2849630114172161
0,0.18854300385109202,0.346455416658225,1,1,0.631578947368421,0.8733474196020488,0.6226247478127795,-0.7344605951177141
0,0.02406931964056494,0.025325688352209427,0,1,0.9473684210526315,2.2358522092986988,1.1828938067914416,-0.34713757643403265
1,0.18453145057766454,0.32214275584010393,0,1,0.42105263157894735,0.33624408221438357,0.8662199908469803,-0.704897045951455
0,0.0802310654685498,0.09623761573839583,0,2,0.8421052631578947,1.2993259285646794,2.103795823273611,-0.45171152714303714
1,0.17650834403080956,0.13979779970419604,0,3,1.0,3.4166896937024624,3.206087630881055,-0.09038143999936538
0,0.04813863928112988,0.012156330409060525,0,2,0.47368421052631576,0.4645959826930536,1.5875325716093645,1.2849630114172161
0,0.01203465982028247,0.0060781652045302625,0,2,0.2631578947368421,-0.27984504008323213,0.021756481661750444,0.3973293583753088
0,0.00802310654685498,0.0,0,2,0.2631578947368421,-0.39832371744815814,0.24911204182700478,-1.3779379477085054
0,0.0401155327342749,0.03140385355673969,0,2,0.631578947368421,1.2697124493319831,0.9621817532543928,-0.0789618700862023
0,0.00401155327342749,0.0,0,2,0.5789473684210527,1.0550147248949353,0.5207576461802955,-1.3779379477085054
0,0.06017329910141235,0.01114330287497215,1,3,0.47368421052631576,0.5416071229802556,0.021756481661750444,1.6946400820519423
0,0.2848202824133518,0.20564458941994057,0,1,0.5789473684210527,0.6916801143091619,2.1166755717558785,0.0021056150500802394
0,0.14040436456996214,0.22387908503353135,0,2,0.5263157894736842,0.8403170004578874,1.8450299674025878,-0.6498009666975659
0,0.06819640564826733,0.06078165204530263,0,2,0.3684210526315789,0.13088104144851181,0.4439882362543654,-0.20211155017247262
0,0.1644736842105271,0.26034807626071294,1,1,0.5263157894736842,0.5826797311334301,0.6973272890099346,-0.6451933884859915
0,0.02005776636713745,0.009117247806795395,0,2,0.47368421052631576,0.3937457336288277,1.4742337174603461,0.5241341659527242
0,0.12836970474967968,0.3241688109082807,1,2,0.42105263157894735,0.4109215515837917,0.5207576461802955,-0.8937741369583743
1,0.01604621309370996,0.0020260550681767543,0,2,0.7894736842105263,1.4183493354807084,2.863700983727428,2.1725966644591233
0,0.04813863928112988,0.11143302874972148,0,1,0.42105263157894735,0.33624408221438357,1.2884517454395954,-0.8540885787001669
0,0.0401155327342749,0.0222866057499443,0,2,0.5263157894736842,0.44272862187076156,1.6324924343669112,0.2863751517450705
